Title,Year,Director,Rating,,Number of Ratings,Country
28 Weeks Later (2007),2007,Juan Carlos Fresnadillo,6.9,,298009,United Kingdom
I Am Legend (2007),2007,Francis Lawrence,7.2,,827462,United States
Babylon A.D. (2008),2008,Mathieu Kassovitz,5.5,,N/A,Unknown
Blindness (2008),2008,Fernando Meirelles,6.5,,75590,Brazil
Resident Evil: Degeneration (2008),2008,Makoto Kamiya,6.4,,33450,Japan
WALL-E (2008),2008,Andrew Stanton,8.4,,1219823,United States
Daybreakers (2008),2009,Michael Spierig,6.4,,135969,Australia
Aftermath: Population Zero (2008),2008,Unknown,6.8,,1498,United States
Doomsday (2008),2008,Neil Marshall,5.9,,80501,United Kingdom
City of Ember (2008),2008,Gil Kenan,6.4,,70477,United States
The Happening (2008),2008,M. Night Shyamalan,5.0,,N/A,Unknown
Pontypool (2008),2008,Bruce McDonald,6.5,,36045,Canada
The Road (2009),2009,John Hillcoat,7.2,,N/A,United States
Pandorum (2009),2009,Christian Alvart,6.7,,161110,United Kingdom
Watchmen (2009),2009,Zack Snyder,7.6,,588360,United States
9 (2009),2009,Shane Acker,7.0,,149482,United States
Knowing (2009),2009,Alex Proyas,6.2,,250477,United States
Survival of the Dead (2009),2009,George A. Romero,4.8,,22716,United States
Zombieland (2009),2009,Ruben Fleischer,7.5,,630749,United States
2012 (2009),2009,Andy Godden,6.2,,N/A,United States
Terminator Salvation (2009),2009,McG,6.5,,N/A,Unknown
Battlestar Galactica: The Plan (2009),2009,Edward James Olmos,6.9,,21404,United States
Happy End (2009),2009,Arnaud Larrieu,6.1,,1136,France
Carriers (2009),2009,David Pastor,6.0,,49975,United States
Earth 2100 (2009),2009,Rudy Bednar,6.6,,1054,United States
Juan of the Dead (2010),2004,Edgar Wright,7.9,,11102,Spain
Monsters (2010),2010,Gareth Edwards,6.3,,98411,United Kingdom
Stake Land (2010),2010,Jim Mickle,6.4,,N/A,Unknown
Vanishing on 7th Street (2010),2010,Brad Anderson,4.9,,27606,United States
Legion (2010),2010,Scott Stewart,5.3,,113385,United States
Maximum Shame (2010),2010,Carlos Atanes,2.7,,404,United Kingdom
The Book of Eli (2010),2010,Albert Hughes,6.8,,343819,United States
